# hw_bench 原始输出 —— docs/report.md 第 4 节与第 5 节的全部性能数字取自这一次运行
#
# 生成方式:
#   cmake -S . -B build -DCMAKE_BUILD_TYPE=Release && cmake --build build -j
#   ./build/hw_bench                              # 不加任何插桩
# 生成时间:
#   2026-09-17（容器时间，M5 收尾时的那一次）
# 设备:
#   NVIDIA GeForce RTX 4090 D (sm_89, 114 SMs, 1008 GB/s HBM, 72 MiB L2)
#
# 读法:
#   * 每行按自己真实搬动的字节数折算带宽: copy 与变换行 4 B/elem，两段式 FP8 行 7 B/elem，
#     融合行 3 B/elem 另加每行 4 B。因此各行之间可以直接比较，与同一 shape 的 copy 上限
#     相同时就是贴在访存上限上，而不是慢。
#   * 表 2 的 rows = 1 行是延迟探针，GB/s 列没有意义。
#   * L2 常驻的行逐次运行有 2~3% 抖动，重跑不会逐位复现；DRAM 行稳定在 925~952 GB/s。
#
# 归档时未改动任何字符，直接是 stdout。

device: NVIDIA GeForce RTX 4090 D (sm_89, 114 SMs)
iters : gpu=50, cpu=5

== table 1: memory regimes ==

shape (B,S,H,D)          dtype impl                     ms       GB/s
--------------------------------------------------------------------------
[1,128,12,64]            fp16  copy ceiling         0.0022      181.1
[1,128,12,64]            fp32  cpu reference        0.3057        2.6
[1,128,12,64]            fp16  fwht baseline        0.0022      177.8
[1,128,12,64]            fp16  tensor core          0.0022      179.4
[1,128,12,64]            bf16  fwht baseline        0.0022      181.1
[1,128,12,64]            bf16  tensor core          0.0022      179.4
[1,128,12,64]            fp16  fp8 quantize only     0.0022      137.4
[1,128,12,64]            fp16  fwht+fp8 fused       0.0023      133.6
[1,128,12,64]            fp16  tc+fp8 fused         0.0036       83.5
[1,128,12,64]            fp16  tc->fp8 2-stage      0.0044      158.4

[2,256,16,128]           fp16  copy ceiling         0.0027     1575.4
[2,256,16,128]           fp32  cpu reference        3.3859        2.5
[2,256,16,128]           fp16  fwht baseline        0.0030     1401.8
[2,256,16,128]           fp16  tensor core          0.0046      906.2
[2,256,16,128]           bf16  fwht baseline        0.0030     1402.7
[2,256,16,128]           bf16  tensor core          0.0048      875.2
[2,256,16,128]           fp16  fp8 quantize only     0.0024     1349.6
[2,256,16,128]           fp16  fwht+fp8 fused       0.0033      976.1
[2,256,16,128]           fp16  tc+fp8 fused         0.0070      452.4
[2,256,16,128]           fp16  tc->fp8 2-stage      0.0070     1055.7

[1,512,8,256]            fp16  copy ceiling         0.0027     1575.4
[1,512,8,256]            fp32  cpu reference        3.3764        2.5
[1,512,8,256]            fp16  fwht baseline        0.0033     1288.1
[1,512,8,256]            fp16  tensor core          0.0079      530.6
[1,512,8,256]            bf16  fwht baseline        0.0032     1304.5
[1,512,8,256]            bf16  tensor core          0.0081      517.2
[1,512,8,256]            fp16  fp8 quantize only     0.0024     1331.0
[1,512,8,256]            fp16  fwht+fp8 fused       0.0035      891.8
[1,512,8,256]            fp16  tc+fp8 fused         0.0093      339.3
[1,512,8,256]            fp16  tc->fp8 2-stage      0.0103      717.0

[4,512,16,128]           fp16  copy ceiling         0.0058     2905.0
[4,512,16,128]           fp32  cpu reference       13.2837        2.5
[4,512,16,128]           fp16  fwht baseline        0.0063     2659.7
[4,512,16,128]           fp16  tensor core          0.0107     1566.3
[4,512,16,128]           bf16  fwht baseline        0.0063     2659.7
[4,512,16,128]           bf16  tensor core          0.0107     1563.4
[4,512,16,128]           fp16  fp8 quantize only     0.0045     2821.8
[4,512,16,128]           fp16  fwht+fp8 fused       0.0071     1799.4
[4,512,16,128]           fp16  tc+fp8 fused         0.0143      888.1
[4,512,16,128]           fp16  tc->fp8 2-stage      0.0152     1938.1

[1,4096,12,64]           fp16  copy ceiling         0.0049     2593.4
[1,4096,12,64]           fp32  cpu reference        9.7671        2.6
[1,4096,12,64]           fp16  fwht baseline        0.0050     2498.2
[1,4096,12,64]           fp16  tensor core          0.0089     1412.4
[1,4096,12,64]           bf16  fwht baseline        0.0050     2497.6
[1,4096,12,64]           bf16  tensor core          0.0093     1350.3
[1,4096,12,64]           fp16  fp8 quantize only     0.0039     2488.9
[1,4096,12,64]           fp16  fwht+fp8 fused       0.0050     1927.9
[1,4096,12,64]           fp16  tc+fp8 fused         0.0102      946.5
[1,4096,12,64]           fp16  tc->fp8 2-stage      0.0128     1732.9

[8,4096,16,128]          fp16  copy ceiling         0.2903      924.8
[8,4096,16,128]          fp32  cpu reference      234.2395        2.3
[8,4096,16,128]          fp16  fwht baseline        0.2846      943.2
[8,4096,16,128]          fp16  tensor core          0.2872      934.6
[8,4096,16,128]          bf16  fwht baseline        0.2860      938.7
[8,4096,16,128]          bf16  tensor core          0.2871      935.1
[8,4096,16,128]          fp16  fp8 quantize only     0.2139      951.2
[8,4096,16,128]          fp16  fwht+fp8 fused       0.2138      951.3
[8,4096,16,128]          fp16  tc+fp8 fused         0.2186      930.7
[8,4096,16,128]          fp16  tc->fp8 2-stage      0.4996      944.4


== table 2: head_dim sweep (fp16, working set inside L2) ==

shape (B,S,H,D)          dtype impl                     ms       GB/s
--------------------------------------------------------------------------
[1,1,1,8]                fp16  copy ceiling         0.0022        0.0
[1,1,1,8]                fp32  cpu reference        0.0001        0.6
[1,1,1,8]                fp16  fwht baseline        0.0022        0.0
[1,1,1,8]                fp16  tensor core          0.0022        0.0
[1,1,1,8]                fp16  fp8 quantize only     0.0022        0.0
[1,1,1,8]                fp16  fwht+fp8 fused       0.0022        0.0
[1,1,1,8]                fp16  tc+fp8 fused         0.0022        0.0
[1,1,1,8]                fp16  tc->fp8 2-stage      0.0043        0.0

[1,524288,1,8]           fp16  copy ceiling         0.0058     2905.0
[1,524288,1,8]           fp32  cpu reference       14.2447        2.4
[1,524288,1,8]           fp16  fwht baseline        0.0057     2925.7
[1,524288,1,8]           fp16  tensor core          0.0057     2925.7
[1,524288,1,8]           fp16  fp8 quantize only     0.0051     2902.0
[1,524288,1,8]           fp16  fwht+fp8 fused       0.0051     2890.3
[1,524288,1,8]           fp16  tc+fp8 fused         0.0048     3063.2
[1,524288,1,8]           fp16  tc->fp8 2-stage      0.0101     3128.3

[1,1,1,16]               fp16  copy ceiling         0.0021        0.0
[1,1,1,16]               fp32  cpu reference        0.0001        0.9
[1,1,1,16]               fp16  fwht baseline        0.0022        0.0
[1,1,1,16]               fp16  tensor core          0.0022        0.0
[1,1,1,16]               fp16  fp8 quantize only     0.0021        0.0
[1,1,1,16]               fp16  fwht+fp8 fused       0.0021        0.0
[1,1,1,16]               fp16  tc+fp8 fused         0.0038        0.0
[1,1,1,16]               fp16  tc->fp8 2-stage      0.0043        0.0

[1,262144,1,16]          fp16  copy ceiling         0.0054     3103.0
[1,262144,1,16]          fp32  cpu reference       13.3245        2.5
[1,262144,1,16]          fp16  fwht baseline        0.0054     3091.3
[1,262144,1,16]          fp16  tensor core          0.0097     1724.4
[1,262144,1,16]          fp16  fp8 quantize only     0.0044     3095.8
[1,262144,1,16]          fp16  fwht+fp8 fused       0.0048     2869.0
[1,262144,1,16]          fp16  tc+fp8 fused         0.0324      421.0
[1,262144,1,16]          fp16  tc->fp8 2-stage      0.0141     2161.3

[1,1,1,32]               fp16  copy ceiling         0.0020        0.1
[1,1,1,32]               fp32  cpu reference        0.0002        1.3
[1,1,1,32]               fp16  fwht baseline        0.0022        0.1
[1,1,1,32]               fp16  tensor core          0.0021        0.1
[1,1,1,32]               fp16  fp8 quantize only     0.0021        0.0
[1,1,1,32]               fp16  fwht+fp8 fused       0.0021        0.0
[1,1,1,32]               fp16  tc+fp8 fused         0.0029        0.0
[1,1,1,32]               fp16  tc->fp8 2-stage      0.0043        0.1

[1,131072,1,32]          fp16  copy ceiling         0.0054     3093.1
[1,131072,1,32]          fp32  cpu reference       12.9734        2.6
[1,131072,1,32]          fp16  fwht baseline        0.0055     3045.4
[1,131072,1,32]          fp16  tensor core          0.0082     2037.8
[1,131072,1,32]          fp16  fp8 quantize only     0.0042     3122.0
[1,131072,1,32]          fp16  fwht+fp8 fused       0.0049     2689.8
[1,131072,1,32]          fp16  tc+fp8 fused         0.0151      870.7
[1,131072,1,32]          fp16  tc->fp8 2-stage      0.0124     2407.9

[1,1,1,64]               fp16  copy ceiling         0.0021        0.1
[1,1,1,64]               fp32  cpu reference        0.0003        1.7
[1,1,1,64]               fp16  fwht baseline        0.0021        0.1
[1,1,1,64]               fp16  tensor core          0.0022        0.1
[1,1,1,64]               fp16  fp8 quantize only     0.0021        0.1
[1,1,1,64]               fp16  fwht+fp8 fused       0.0021        0.1
[1,1,1,64]               fp16  tc+fp8 fused         0.0032        0.1
[1,1,1,64]               fp16  tc->fp8 2-stage      0.0042        0.1

[1,65536,1,64]           fp16  copy ceiling         0.0054     3103.0
[1,65536,1,64]           fp32  cpu reference       13.2455        2.5
[1,65536,1,64]           fp16  fwht baseline        0.0056     3011.8
[1,65536,1,64]           fp16  tensor core          0.0103     1622.2
[1,65536,1,64]           fp16  fp8 quantize only     0.0042     3044.7
[1,65536,1,64]           fp16  fwht+fp8 fused       0.0056     2280.7
[1,65536,1,64]           fp16  tc+fp8 fused         0.0119     1083.2
[1,65536,1,64]           fp16  tc->fp8 2-stage      0.0145     2037.2

[1,1,1,128]              fp16  copy ceiling         0.0021        0.2
[1,1,1,128]              fp32  cpu reference        0.0005        2.0
[1,1,1,128]              fp16  fwht baseline        0.0021        0.2
[1,1,1,128]              fp16  tensor core          0.0021        0.2
[1,1,1,128]              fp16  fp8 quantize only     0.0021        0.2
[1,1,1,128]              fp16  fwht+fp8 fused       0.0021        0.2
[1,1,1,128]              fp16  tc+fp8 fused         0.0040        0.1
[1,1,1,128]              fp16  tc->fp8 2-stage      0.0042        0.2

[1,32768,1,128]          fp16  copy ceiling         0.0054     3103.0
[1,32768,1,128]          fp32  cpu reference       13.3285        2.5
[1,32768,1,128]          fp16  fwht baseline        0.0059     2853.4
[1,32768,1,128]          fp16  tensor core          0.0100     1678.7
[1,32768,1,128]          fp16  fp8 quantize only     0.0042     3013.6
[1,32768,1,128]          fp16  fwht+fp8 fused       0.0066     1928.0
[1,32768,1,128]          fp16  tc+fp8 fused         0.0133      954.9
[1,32768,1,128]          fp16  tc->fp8 2-stage      0.0142     2080.6

[1,1,1,256]              fp16  copy ceiling         0.0020        0.5
[1,1,1,256]              fp32  cpu reference        0.0009        2.2
[1,1,1,256]              fp16  fwht baseline        0.0021        0.5
[1,1,1,256]              fp16  tensor core          0.0036        0.3
[1,1,1,256]              fp16  fp8 quantize only     0.0022        0.4
[1,1,1,256]              fp16  fwht+fp8 fused       0.0021        0.4
[1,1,1,256]              fp16  tc+fp8 fused         0.0046        0.2
[1,1,1,256]              fp16  tc->fp8 2-stage      0.0051        0.3

[1,16384,1,256]          fp16  copy ceiling         0.0054     3114.8
[1,16384,1,256]          fp32  cpu reference       13.5793        2.5
[1,16384,1,256]          fp16  fwht baseline        0.0068     2482.4
[1,16384,1,256]          fp16  tensor core          0.0173      968.3
[1,16384,1,256]          fp16  fp8 quantize only     0.0043     2969.7
[1,16384,1,256]          fp16  fwht+fp8 fused       0.0076     1655.8
[1,16384,1,256]          fp16  tc+fp8 fused         0.0190      666.2
[1,16384,1,256]          fp16  tc->fp8 2-stage      0.0215     1365.8

[1,1,1,512]              fp16  copy ceiling         0.0020        1.0
[1,1,1,512]              fp32  cpu reference        0.0018        2.3
[1,1,1,512]              fp16  fwht baseline        0.0021        1.0
[1,1,1,512]              fp16  tensor core          0.0056        0.4
[1,1,1,512]              fp16  fp8 quantize only     0.0021        0.7
[1,1,1,512]              fp16  fwht+fp8 fused       0.0021        0.7
[1,1,1,512]              fp16  tc+fp8 fused         0.0088        0.2
[1,1,1,512]              fp16  tc->fp8 2-stage      0.0072        0.5

[1,8192,1,512]           fp16  copy ceiling         0.0054     3102.7
[1,8192,1,512]           fp32  cpu reference       14.1595        2.4
[1,8192,1,512]           fp16  fwht baseline        0.0070     2381.4
[1,8192,1,512]           fp16  tensor core          0.0326      515.2
[1,8192,1,512]           fp16  fp8 quantize only     0.0043     2919.4
[1,8192,1,512]           fp16  fwht+fp8 fused       0.0074     1701.7
[1,8192,1,512]           fp16  tc+fp8 fused         0.0356      354.0
[1,8192,1,512]           fp16  tc->fp8 2-stage      0.0369      796.5

[1,1,1,1024]             fp16  copy ceiling         0.0020        2.0
[1,1,1,1024]             fp32  cpu reference        0.0036        2.3
[1,1,1,1024]             fp16  fwht baseline        0.0022        1.9
[1,1,1,1024]             fp16  tensor core          0.0096        0.4
[1,1,1,1024]             fp16  fp8 quantize only     0.0021        1.4
[1,1,1,1024]             fp16  fwht+fp8 fused       0.0022        1.4
[1,1,1,1024]             fp16  tc+fp8 fused            n/a        n/a
[1,1,1,1024]             fp16  tc->fp8 2-stage      0.0112        0.6

[1,4096,1,1024]          fp16  copy ceiling         0.0054     3103.0
[1,4096,1,1024]          fp32  cpu reference       14.7350        2.3
[1,4096,1,1024]          fp16  fwht baseline        0.0085     1974.0
[1,4096,1,1024]          fp16  tensor core          0.0650      257.9
[1,4096,1,1024]          fp16  fp8 quantize only     0.0050     2531.7
[1,4096,1,1024]          fp16  fwht+fp8 fused       0.0083     1527.1
[1,4096,1,1024]          fp16  tc+fp8 fused            n/a        n/a
[1,4096,1,1024]          fp16  tc->fp8 2-stage      0.0700      419.5

notes
  GB/s counts the traffic each row is expected to move: 4 B/elem for the copy
  and the transform rows, 7 B/elem for the two-stage FP8 rows, 3 B/elem plus
  4 B/row for the fused ones. The rows are therefore comparable to each other,
  and on the DRAM-bound shape they all land at the same 925-952 GB/s: that is
  this machine's sustained rate. The copy of the shape's own footprint comes
  first as the reference for the 4 B/elem rows; a fused FP8 row moves three
  quarters of those bytes, so its time cannot be below three quarters of the
  copy's time, and reporting the copy's bandwidth means it is at the memory
  limit, not slow. In table 1 the first five shapes stay inside the 72 MiB L2
  across the timed iterations (GB/s above the HBM peak is normal there); the
  last one is DRAM-bound. Table 2 keeps the working set inside L2 on purpose: it
  is about coverage against head_dim, where d = 8 falls back to the butterfly for
  both Tensor Core entries and d = 1024 has no fused Tensor Core path, which is
  why those rows read n/a; its rows = 1 shapes are latency probes whose GB/s
  column is not meaningful. The CPU reference is only measured while a row has
  at most 67108864 elements, its cost being linear in the element count.
EXIT=0
